header,content,image,link
สื่อใหญ่ของอังกฤษ ลงข่าวว่าไม่มีรายงานเด็กแพร่เชื้อโควิดสู่คนอื่นได้ จริงหรือคะ,ทางอังกฤษลงข่าวว่าไม่ปรากฎหลักฐานว่าเด็กอายุต่ำกว่า 10 ขวบสามารถเป็นตัวแพร่เชื้อต่อให้กับผู้อื่นได้ จริงหรือคะ,,https://cofact.org/article/36afdg5bd9zle
ไข้หวัดใหญ่ถ้าติดเชื้อร่วมกับโรคโควิด ทำให้โรครุนแรงขึ้น จริงหรือคะ,โรคไข้หวัดมีอาการคล้ายโรคโควิด ถ้าติดพร้อมกันทั้งสองโรคในเวลาเดียวกัน จะทำให้โรครุนแรงซับซ้อนขึ้น จริงหรือคะ,,https://cofact.org/article/1e8956g6om1op
จริงหรือคลายล็อคดาวน์รอบสอง กองถ่ายทำภาพยนตร์มีสิทธิ์ได้กลับมาทำงานถ้ากองถ่ายมีจำนวนคนไม่เกิน 50 คน,นายอิทธิพล คุณปลื้ม รัฐมนตรีกระทรวงวัฒนธรรม (วธ.) เปิดเผยว่ามาตรการผ่อนปรน ในระยะ 2 ที่จะมีการพิจารณาในวันนี้ กระทรวงวัฒนธรรม ได้เสนอการจำกัดจำนวนคนในกองถ่ายทำภาพยนตร์ และรายการโทรทัศน์ หลังปิดไม่ให้มีการถ่ายทำนานถึง 2 เดือน,,https://cofact.org/article/1gv6d26gnvpsz
มีรายงานข่าวกล่าวว่า โควิด19 ไม่ใช่โรคติดเชื้อทางเดินหายใจเพียงอย่างเดียว แต่อาจจะมีความคล้ายโรคคาวาซากิในเด็กด้วย จริงหรือ,ในต่างประเทศสันนิษฐานว่า อาการอักเสบตามอวัยวะต่างๆ คล้ายกับโรคคาวาซากิ ทั้งผื่นคัน ตาแดง ต่อมน้ำเหลืองโต มือแตกและมือเท้าแดง จึงเกิดขึ้นอย่างรุนแรงได้ในเด็กบางคนพบว่าร้อยละ 60 ของเด็กที่มีอาการดังกล่าวมีเชื้อ COVID-19 ร่วมด้วย และส่วนมากผู้ป่วยมีอายุ 5-14 ปีเท่านั้น,,https://cofact.org/article/20gk0gz0ojarh
จริงหรือ บขส เส้นทาง เหนือ อีสาน ตะวันออก เตรียมเปิดให้บริการ 18 พค. 63 นี้,บริษัท ขนส่ง จำกัด (บขส.) แจ้งว่า บขส. เตรียมเปิดเดินรถในเส้นทางภาคเหนือ จำนวน 7 เส้นทาง และเส้นทางภาคตะวันออกเฉียงเหนือและภาคตะวันออก จำนวน 9 เส้นทาง ตั้งแต่วันที่ 18 พ.ค.2563 เป็นต้นไป เพื่ออำนวยความสะดวกให้กับประชาชนที่มีความจำเป็นต้องเดินทาง หลังจากที่ บขส.หยุดให้บริการชั่วคราว จากสถานการณ์การแพร่ระบาดของเชื้อไวรัส COVID-19,,https://cofact.org/article/3nytmdqmvce4a
จริงหรือตั้งแต่วันที่ 1 ตค. 63 เป็นต้นไปจะเปลี่ยนชื่อน้ำมัน จาก “ดีเซลB10” เป็น “ดีเซล”  ส่วนน้ำมันดีเซลที่จำหน่ายในปัจจุบัน จะต้องเปลี่ยนชื่อเรียก เป็น ดีเซลB7,กรมธุรกิจพลังงาน เตรียมออกประกาศ เปลี่ยนชื่อน้ำมันดีเซลB10 เป็น “ดีเซล”  ดีเดย์ 1 ต.ค. 2563 นี้ โดยปั๊มน้ำมันจะต้องเปลี่ยนป้ายชื่อที่ตู้จ่ายทั้งหมด  ส่วนดีเซล ที่จำหน่ายอยู่เดิม จะเปลี่ยนชื่อเรียกใหม่ เป็น ดีเซลB7 เพื่อเป็นน้ำมันทางเลือก พร้อมเตรียมยกเลิกการจำหน่ายดีเซลB20 ในอนาคต,,https://cofact.org/article/11fg4qlqgs89w
จริงหรือ มหาวิทยาลัยมหาวิทยาลัยสงขลานครินทร์ (มอ.) ให้การสนับสนุนทุนการศึกษาและค่าใช้จ่ายต่าง ๆ รวมกว่า 400 ล้านบาท ตามมาตรการช่วยเหลือนักศึกษาในสถานการณ์การแพร่ระบาดของโรคโควิด-19,มหาวิทยาลัยสงขลานครินทร์ (มอ.) ออกมาตรการช่วยเหลือน.ศ.ในสถานการณ์โรคโควิด-19 รวมมูลค่ากว่า 400 ล้านบาท เพื่อดูแลจนสำเร็จการศึกษาอย่างมีคุณภาพ,,https://cofact.org/article/3udhoevu214hd
ได้รับแจ้งเตือนใน SMS เรื่อง COVID-19 จากรัฐบาลไทย พร้อมระบุเว็บไซต์ thaigov.online/0512 ของจริงหรือเปล่าคะ,ได้รับ sms มาแบบนี้ ดูน่าสงสัย ไม่ทราบว่าของจริงหรือเปล่าคะ,,https://cofact.org/article/1d1i4ecgrbmbr
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร คอร์ดิเซพส์ พลัส,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร คอร์ดิเซพส์ พลัส,,https://cofact.org/article/1lj0zmr8prdju
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร วี-ไดเซพ,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร วี-ไดเซพ ในช่วงปี พ.ศ.2562,,https://cofact.org/article/1a0d76fbonnvx
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร คอลดาต้า (น้ำพลูคาว),สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหารคอลดาต้า (น้ำพลูคาว) ในช่วงปี พ.ศ.2562,,https://cofact.org/article/1tyqo1dagmthm
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร ดี-คอนแทค,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหารดี-คอนแทค,,https://cofact.org/article/wcrhvyo1ihvv
น้ำยาแช่คอนแทคเลนส์ กำจัดเชื้อโควิด-19 ได้หรือไม่,ใส่คอนแทคเลนส์อยู่ค่ะ อยากทราบว่า น้ำยาแช่คอนแทคเลนส์สามารถฆ่าเชื้อได้มั๊ยคะ,,https://cofact.org/article/3786c46sjoagr
กระเทียมรักษาผมร่วงได้หรือเปล่าคะ เห็นมีสูตรแชร์กันเยอะมากใน internet,มีสูตรจากหลายสำนักเลยค่ะว่ากระเทียมสามารถรักษาผมร่วงได้ ไม่ค่อยแน่ใจในสรรพคุณเท่าไหร่ค่ะ,,https://cofact.org/article/e17ufpjngqpm
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร โอเอ็มจี,"สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ โอเอ็มจี (แอล-อาร์จินีน, สารสกัดจากโสมเกาหลี, สารสกัดจากใบแป๊ะก๊วย) (ผลิตภัณฑ์เสริมอาหาร) ในช่วงปี พ.ศ.2562",,https://cofact.org/article/1hj4kxusoowk4
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร ไฟโต เอสซี,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร ไฟโต เอสซี ในช่วงปี พ.ศ.2562,,https://cofact.org/article/1wgbx9nzkpday
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร อะโทมี่ ฮงซัมตัน โคเรียน เรด จินเซ็ง สเบียรเคิล แกรนูล (ผลิตภัณฑ์เสริมอาหารผงโสมและสารสกัดโสม),สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร อะโทมี่ ฮงซัมตัน โคเรียน เรด จินเซ็ง สเบียรเคิล แกรนูล (ผลิตภัณฑ์เสริมอาหารผงโสมและสารสกัดโสม) ในช่วงปี พ.ศ.2562,,https://cofact.org/article/3nsw3zrhz1s6y
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร มาโอโล่,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร มาโอโล่ ในช่วงปี พ.ศ.2562,,https://cofact.org/article/14c0ruyvxwu1o
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร ตรา เลอวิต้า,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร ตรา เลอวิต้า ในช่วงปี พ.ศ.2562,,https://cofact.org/article/2hztohj2t63d9
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร กรีน คอฟฟี่ บีน พลัส,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร กรีน คอฟฟี่ บีน พลัส ในช่วงปี พ.ศ.2562,,https://cofact.org/article/3ri7pxnlt4n01
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหารคาร์นิทีน พลัส,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหารคาร์นิทีน พลัส ในช่วงปี พ.ศ.2562,,https://cofact.org/article/ixco2j1bczdd
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหารเอ๊กซ์ไลท์,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหารเอ๊กซ์ไลท์ ในช่วงปี พ.ศ.2562,,https://cofact.org/article/w3u5r5hhmvmg
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร ฟิกเกอร์ พลัส,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร ฟิกเกอร์ พลัส ในช่วงปี พ.ศ.2562,,https://cofact.org/article/u6b135y16fhl
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร ไนท์ไทม์ แมกซ์ เครื่องหมายการค้าจดทะเบียนนูทรีมาสเตอร์,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร ไนท์ไทม์ แมกซ์ เครื่องหมายการค้าจดทะเบียนนูทรีมาสเตอร์ ในช่วงปี พ.ศ.2562,,https://cofact.org/article/7xr61f53no91
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร คอลลี่ กลูตา ซี,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของผลิตภัณฑ์เสริมอาหาร คอลลี่ กลูตา ซี ในช่วงปี พ.ศ.2562,,https://cofact.org/article/3mrwtr7y0a5qf
อย. ยกเลิก เลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร โอมเพี้ยง,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้เพิกถอนเลขสารบบอาหารของ ผลิตภัณฑ์เสริมอาหาร โอมเพี้ยง ในช่วงปี พ.ศ.2562,,https://cofact.org/article/1pdagw5c4iorb
ไทยปลด จีน ฮ่องกง มาเก๊า และเกาหลีใต้ออกจากประเทศกลุ่มเสี่ยงโรคติดต่อโควิดแล้ว จริงหรือ,ในขณะที่ตัวเลขของผู้ติดเชื้อโควิดจากเกาหลีใต้และจีนยังไม่ค่อยเสถียร แต่ไทยปลดประทศเหล่านี้ออกจากกลุ่มเสี่ยง มีผลตั้งแต่วันที่ 16 พค.นี้เลย จริงหรือคะ,,https://cofact.org/article/2ylxhsvfm73y1
กระทรวงดิจิทัล แจกฟรีเน็ตบ้าน แต่ฟรีเพียงแค่ 3 เดือน พร้อมติดตั้งให้ จริงหรือคะ,มีข่าวปรากฏในสื่อต่างๆ เกี่ยวกับประเด็นเรื่อง คนที่ยังไม่มี internet ใช้ที่บ้าน ทางกระทรวงดิจิทัลแจกฟรีเน็ตบ้านความเร็ว 100 เม็ก 3 เดือน พร้อมติดตั้งให้ แต่อีก 9 เดือนคิดค่าบริการในอัตรา 390 บาทต่อเดือน เพื่อสนับสนุนผู้ที่อาจจะต้องใน internet เพื่อทำงานอยู่บ้าน จริงหรือคะ,,https://cofact.org/article/2liv9od1ml34a
ได้ SMS จากธนาคาร ธ.ก.ส. ว่าโอนเงินผิด ขอข้อมูลเราเพิ่มเติม จริงหรือเปล่าคะ,ได้ข้อความ SMS จาก ธนาคารเพื่อการเกษตรว่า โอนเงินเยียวยาผิดและให้โอนเงินคืน และขอข้อมูลบัตรประชาชน เลขบัญชีธนาคารและรหัส OTP เราอีกด้วย มันจริงหรือคะ,,https://cofact.org/article/2db8vl2zvywg7
มหาวิทยาลัยศรีนครินทรวิโรฒเยียวยานิสิตที่ได้รับผลกระทบโควิด-19 ลดค่าเทอม-ค่าหอพัก พร้อมจัดตั้งกองทุนเยียวยานิสิต จริงหรือคะ,เนื่องจากช่วงโควิดสร้างปัญหาทางเศรษฐกิจและความมั่นคงให้กับประชาชนหลายอาชีพรวมถึงนักศึกษา หลายมหาวิทยาลัยได้ช่วยเหลือนักศึกษา และทางมหาวิทยาลัยศรีนครินทร์วิโรฒได้ช่วยเยียวยานิสิตเป็นเงินถึง 200 ล้านบาท จริงหรือคะ,,https://cofact.org/article/23pxn9sr3lofg
ตั้งแต่วันที่ 17 พค 63 รถไฟฟ้าขยายเวลาเปิดทำการจนถึง 22.30 แล้ว จริงหรือ,บีทีเอส ปรับเวลาปิดให้บริการเป็น 22.30 น. ในทุกสถานี เพื่ออำนวยความสะดวกผู้โดยสาร รับขยายเวลาเคอร์ฟิว โดยจะเริ่มตั้งแต่วันที่ 17 พฤษภาคม นี้เป็นต้นไป,,https://cofact.org/article/3357ln8nyzk8n
จริงหรือ การรถไฟพร้อมเปิดให้บริการ ขบวนรถโดยสารพิเศษ และขบวนรถชานเมือง 18 พค 63 นี้,ตามที่รัฐบาลได้มีมาตรการผ่อนคลายการบังคับใช้บางมาตรการในการป้องกันและการแพร่ระบาดของโรค COVID-19 เพื่อเป็นการอำนวยความสะดวกการเดินทางของประชาชนที่มีความจำเป็นต้องเดินทางโดยรถไฟ ทั้งการเดินทางภายในเขตเมือง ระหว่างเมือง และทางไกล ข้ามเขตพื้นที่จังหวัด การรถไฟฯ จึงได้ประกาศเปิดเดินขบวนรถโดยสารพิเศษเป็นการชั่วคราว 30 วัน,,https://cofact.org/article/33vf2wy0av64
คลายล็อคดาวน์รอบสองนี้ ร้านนวดเท้า และร้านทำเล็บเปิดให้บริการได้แล้วจริงหรือ,ต้องการใช้บริการนวดเท้า และทำเล็บสามารถไปใช้บริการได้แล้วหลังจากวันที่ 17 พค 63 นี้,,https://cofact.org/article/23frcbpzog1ih
จริงหรือ ตะไคร้ช่วยไล่ยุง และทำให้ลดความเสี่ยงติดเชื้อไข้เลือดออก,กรมการแพทย์แผนไทยและการแพทย์ทางเลือก แนะนำสมุนไพรพื้นบ้าน หาง่ายใช้สะดวก เป็นที่รู้จักของคนในชุมชน มีสารสำคัญช่วยไล่ยุง ป้องกันการเกิดโรคไข้เลือดออกได้ เช่น ตะไคร้หอม มีสารสำคัญ คือ น้ำมันหอมระเหยง่าย (Citronella oil) ซึ่งมีประสิทธิภาพในการไล่ยุงและแมลงอื่น,,https://cofact.org/article/8qudoo0pgq2h
จริงหรือ ที่ไม่ควรบริโภคทุเรียนเกินวันละ 2 เม็ดเพราะจะทำให้เสี่ยงโรคอ้วนได้,กรมอนามัย เตือนว่า ทุเรียนจัดอยู่ในอาหารกลุ่มผลไม้  ที่มีวิตามินและแร่ธาตุต่างๆ รวมทั้งเป็นแหล่งของคาร์โบไฮเดรต หากต้องการกินทุเรียนให้ได้รับประโยชน์และคุณค่าทางสารอาหารที่เหมาะสม ไม่ควรกินทุเรียนเกินวันละ 2 เม็ด,,https://cofact.org/article/3b2lcy6f9aqw1
เม็ดแมงลัก ช่วยลดความอ้วนได้ จริงหรือ,ใช้เม็ดแมงลัก 1-2 ช้อนชา ต่อน้ำ 1 แก้วใหญ่ แช่ให้เม็ดพองเต็มที่ ถ้าจะกินเพื่อลดน้ำหนัก ให้กินก่อนอาหาร แนะนำให้กินในมื้อเย็น แต่ถ้าใช้เป็นยาระบายให้กินก่อนนอน จะทำให้การขับถ่ายดีในตอนเช้า,,https://cofact.org/article/301v4ev6scb9e
จริงหรือเปล่าคะที่พนักงานการบินไทยได้ตั๋วฟรี ทั้งในและนอกประเทศครั้งละ 7 ใบ ผู้บริหารได้บิน เฟิร์สคลาสฟรี,มีข่าวลือกันในโลกออนไลน์ว่า พยักงานได้ตั๋วในประเทศฟรี 7 ใบ และต่างประเทศ 7 ใบต่อปี และคณะกรรมการบริษัทฯ ได้สิทธิ์ตั๋วฟรีชั้นหนึ่ง จริงหรือเปล่าคะ,,https://cofact.org/article/20z24hod6trbw
เชื้อโควิดมาจากฝีมือมนุษย์ หรือหลุดมาจากห้องแล็บในจีน จริงหรือคะ,ประธานาธิบดีโดนัลด์ ทรัมป์ ผู้นำสหรัฐได้วิพากษ์วิจารณ์จีน โดยกล่าวว่าการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 เป็นผลมาจากความผิดพลาดของจีน อาจมีต้นกำเนิดมาจากห้องปฏิบัติการในจีน ยันมีหลักฐานแต่บอกไม่ได้ จริงหรือเปล่าคะ,,https://cofact.org/article/3jpd392134tf4
จริงหรือ ประกาศขยายเวลาห้ามสายการบินทั่วโลกบินเข้าประเทศไทยอีก 1 เดือน จนถึงวันที่ 30 มิ.ย.นี้ เพื่อป้องกันและควบคุมโรค COVID-19,สำนักงานการบินพลเรือนแห่งประเทศไทย (กทพ.) ลงนามประกาศสำนักงานการบินพลเรือนแห่งประเทศไทย เรื่องห้ามอากาศยานทำการบินเข้าสู่ประเทศไทยเป็นการชั่วคราว (ฉบับที่ 5) ขยายระยะเวลาห้ามอากาศยานขนส่งคนโดยสารทำการบินเข้ามายังท่าอากาศยานไทยอีก 1 เดือน ตั้งแต่วันที่ 1-30 มิ.ย.2563 จากเดิมจะสิ้นสุดในวันที่ 31 พ.ค.นี้ โดยให้มีผลตั้งแต่บัดนี้เป็นต้นไป หรือจนกว่าจะมีการเปลี่ยนแปลง เพื่อป้องกันไม่ให้สถานการณ์การระบาดของโรคติดเชื้อ COVID-19 รุนแรงมากยิ่งขึ้นและให้ยุติลงโดยเร็ว,,https://cofact.org/article/176u3v27ydxvw
จริงหรือ ที่เด็กๆสามารถเรียนผ่านสื่อการจัดการเรียนการสอนทางไกล ผ่านฟรีทีวี 17 ช่อง จะเริ่มออกอากาศตั้งแต่วันที่ 18 พ.ค.เป็นต้นไป,รัฐมนตรีว่าการกระทรวงศึกษาธิการ บอกว่า การจัดการเรียนการสอนทางไกล ผ่านฟรีทีวี 17 ช่อง เพื่อให้นักเรียนและบุคลากรทางการศึกษา สามารถจัดการเรียนการสอนได้อย่างปลอดภัย และที่สำคัญกระทรวงฯ ได้ให้ความสำคัญกับความต่อเนื่องในการเรียนรู้ผ่านระบบการศึกษาภายใต้แนวคิด “โรงเรียนหยุดได้ แต่การเรียนรู้หยุดไม่ได้” โดยสื่อการเรียนการสอนทางไกลผ่านฟรีทีวีทั้ง 17 ช่อง จะเป็นสื่อหลักในการเรียนควบคู่ไปกับการใช้สื่อออนไลน์ ทั้งในส่วนของแพลตฟอร์มที่กระทรวงศึกษาธิการได้พัฒนาขึ้น และการเรียนในห้องเรียนจำลอง,,https://cofact.org/article/1t5em21lz623t
ทีโอที จัดกิจกรรมร่วมตอบคำถาม ลุ้นรับของรางวัลสุดพิเศษ จริงหรือคะ,บริษัท ทีโอที จำกัด มหาชนเชิญชวนให้ประชาชนเข้าร่วมสนุกลุ้นรับของรางวัลสุดพิเศษ ผ่านทางสื่อออนไลน์ให้กรอกข้อมูลส่วนตัว จริงหรือคะ,,https://cofact.org/article/3etllxkdq3g42
ขสมก.ปรับเปลี่ยนเวลาให้บริการรถโดยสารประจำทางทุกประเภท จริงหรือคะ,จากการที่ลดช่วงเวลาเคอร์ฟิวลง 1 ชั่วโมง จากเดิม เวลา 22.00 - 04.00 น. เป็นเวลา 23.00 - 04.00 น. และอนุญาตให้เปิดห้างสรรพสินค้า ตั้งแต่เวลา 10.00 - 20.00 น. ตั้งแต่วันที่ 17 พ.ค.2563 เป็นต้นไป ทางขสมก.มีผู้ใช้บริการรถโดยสารเป็นจำนวนมาก จึงเพิ่มเวลาของการเดินรถประจำทาง จริงหรือไม่คะ,,https://cofact.org/article/2hqwd5vk3kk7g
ธนาคารแห่งประเทศไทยเปิดเว็บไซต์ BOT COVID 19 อำนวยความสะดวกผู้ใช้เข้าถึงข้อมูลและมาตรการช่วยเหลือทางการเงิน จริงหรือคะ,เนื่องจากเป็นช่วงต้องมีระยะห่างทางสังคม และเป็นช่วงที่มีผู้ต้องการข้อมูลเกี่ยวกับการเงิน ทางธนาคารแห่งประเทศไทยมีเว็บไซต์นี้เพื่อช่วยอำนวยความสะดวกจริงหรือคะ,,https://cofact.org/article/1yqsqa4qp5z0t
หลังห้างเปิดแล้ว 7 วันค่อยไปห้างเพราะ ห้างปิดมานานอาจมีเชื้อรา จริงหรือเปล่าคะ,มีภาพข่าวจากต่างประเทศว่า เครื่องหนังในห้างมีราขึ้นเต็มไปหมดเนื่องจากปิดห้างมานาน ในท่อแอร์และห้างมีความชื้นสูง ตอนนี้ทางเมืองไทยเริ่มเปิดห้างแล้ว มีข่าวว่าให้รอเปิดก่อน 7 วันเพื่อให้ราหมดไป จริงหรือคะ,,https://cofact.org/article/3ue7c6feib0iq
ไม่มีมือถือ สามารถลงทะเบียน ไทยชนะที่ร้านได้ จริงหรือคะ,ขณะนี้ตามร้านต่างๆให้ scan QR Code ในไทยชนะ เพื่อเก็บข้อมูลของเรา อยากทราบว่าถ้าไม่มีมือถือ ทางร้านสามารถให้เราลงทะเบียนและเบอร์โทรที่ติดต่อได้ จริงหรือเปล่าคะ,,https://cofact.org/article/jx36nzut6u96
เล่นเกมส์แล้วจะเก่งภาษาอังกฤษมากขึ้น จริงไหม ?,ขอความข้างต้น...ในฐานะที่ผมทำงานด้านวิศวโยธา....ขอยืนยันว่าเป็นเรื่องจริงกล่าวคือ ความชื้นที่หยุดการเคลื่อนตัวในท่อดัทท์จะสะสมเมื่อเทียบอายุการหยุดการทำงานกระทันหันเป็นระยะเวลาเกือบ 2 เดือน เชื้อราอันประกอร์บด้วยความแห้งของอากาศที่ไม่มีการหมุนเวียน(ปิดเครื่องการทำงานมานาน)จะสะสมในแนวท่อดัทท์เป็นแผ่นยางๆตลอดความยาวของท่อในทุกๆชั้นของห้าง....(อันตรายอยู่ตรงจุดนี้)....เมื่อห้างเปิดใช้งาน(ให้สังเกตุผนังภายในร้านทุกร้านเลือกดูจุดที่สูงๆจะเห็นคราบของเชื้อราเกาะติดในผนังและพื้นทั่วไป(สอนค้าทุกชนิดจะขึ้นราย้ำทุกชนิด...แต่ทางห้างจะทำความสะอาดไม่ให้เรามองเห็นเพื่อเปิดห้าง....ในจุดที่อันตรายที่สุดเมื่อห้างเปิด ทางห้สงจะเปิดแอร์ในห้างทุกชั้น เมื่อเครื่องเดินระบบการถ่ายเทหมุนเวียนภายในห้าง คอยร้อนและคอยเย็นของระบบทำงานหมุนเวียนถ่ายเทความเย็นลงสู่พื้น อากาศภายในห้างจะมีการหมุนเวียนผ่านท่อดัทท์(ท่อส่งความเย็น)....จังหวะนี้แหละที่เชื้อราที่จับภายในผิวท่อดัทท์จะถูกแรงลมภายในท่อดันให้เชื้อราลอยออกมาพร้อมๆกับความเย็นและส่งผ่านช่องแอร์ลงสู่พื้นอย่างต่อเนื่องการหมุนเวียนของความเย็นจะปะปนกับเชื้อราลอยอยู่ในห้าง เราจะหายใจเอาเชื้อราเข้าสู่ปอดโดยไม่รู้ตัวครับ อธิบายง่ายๆคงเข้าใจในระดับหนึ่งนะครับ....ถ้าเป็นผม....ผมแนะนำให้ห้างเปิดสัก 7 วีน แล้วค่อยเข้าไปภายในห้าง...เพื่อปล่อยให้เชื้อราที่ปลิวอยู่ในอากาศภายในห้างให้เหลือน้อยที่สุดและเจือจางน้อยที่สุด...หวังว่าคงเป็นประโยชน์แก่ทุกท่าน...ขอบคุณบทความข้างต้นที่นำเสนอให้เห็นถึงภัยของเชื้อราหลังจากที่มีการสั่งปิดห้างฯกระทันหัน(บทเรียนที่รัฐฯไม่ควรมองข้ามก่อนการสั่งการให้ยุติ....แบบกระทันหัน),,https://cofact.org/article/32ryvdpijk3pb
"หน้าฝนนี้ ให้ระวังโรคทางผิวหนัง ""โรคผื่นกุหลาบ"" โรคผิวหนังที่มีความสัมพันธ์กับการติดเชื้อไวรัส หากหญิงตั้งครรภ์แรกเริ่มติด อาจเสี่ยงแท้งได้ จริงหรือ",.เตรียมจะบุกวัดอีกรอบเพื่อจะกลบข่าวข้างล่างนี้,,https://cofact.org/article/2k20ff7xdqrku
จุฬาราชมนตรี ผ่อนปรนให้ปฏิบัติศาสนกิจละหมาดอีฎิ้ลฟิตร์แล้วจริงหรือคะ,เนื่องจากนี้มีผู้ติดเชื้อโควิดลดลง ทางสำนักจุฬาราชมนตรีได้อนุญาติให้มีการละหมาดสำหรับมัสยิดที่มีความพร้อม จริงหรือคะ,,https://cofact.org/article/1trzo7r66f6xl
ตอนนี้ตัวเลขผู้ป่วยโควิดในประเทศไทยน้อยมากแต่ในทางระบาดวิทยาคาดการณ์ว่ามีคนที่มีอาการน้อยจนถึงไม่แสดงอาการ 70-80% และพร้อมที่จะแพร่เชื้อให้คนอื่น จริงหรือคะ,ศาสตราจารย์กิตติคุณ นพ.ภิรมย์ กมลรัตนกุล นายกสภาจุฬาลงกรณ์มหาวิทยาลัย ในฐานะนักระบาดวิทยาท่านบอกว่า ถึงแม้ว่าตัวเลขผู้ป่วยน้อยแต่ยังมีผู้ป่วยจำนวนมากที่ไม่แสดงอาการพร้อมที่จะระบาดให้คนอื่นต่อได้ จริงหรือคะ,,https://cofact.org/article/2l1r7hjxdzbp2
โรคความดันโลหิตสูง ถ้าไม่มีอาการผิดปกติ แปลว่าควบคุมโรคได้ดีแล้ว จริงหรือคะ,เป็นโรคความดันสูงแต่ระยะนี้ไม่มีอาการผิดปกติแสดงออกมา แปลว่าควบคุมโรคได้ดี ไม่ต้องทานยาก็ได้เพราะทานยาติดกันเป็นเวลานานๆกลัวจะทำให้ตับและไตเสื่อม จริงหรือเปล่าคะ,,https://cofact.org/article/rqdq78t6fsw8
"account LINE ที่ใช้ชื่อว่า ""ไทยชนะ"" เป็นของจริงหรือเปล่าคะ","ขณะนี้ ใน application LINE มี บัญชีปลอมมากมายจนไม่กล้าจะเพิ่มเพื่อนอีกต่อไป อยากทราบว่า ""ไทยชนะ"" นี่คือของจริง ใช่มั๊ยคะ",,https://cofact.org/article/345iaq5iagize
จริงหรือ เราสามารถตรวจสอบส่วนลดค่าไฟฟ้าได้ด้วยตัวเอง,การไฟฟ้านครหลวง MEA หรือ กฟน. โพสต์ข้อความว่า MEA เปิดบริการตรวจสอบส่วนลดค่าไฟฟ้าสำหรับผู้ใช้ไฟฟ้าประเภทบ้านอยู่อาศัยในพื้นที่กรุงเทพมหานคร นนทบุรี และสมุทรปราการ,,https://cofact.org/article/3fj14uzcql1kh
