category,header,content,image,link
true,จริงหรือ ถ้าเราอยู่ในกรุ๊ปไลน์หรือสื่อโซเชียลที่ส่งต่อสื่อลามกอนาจารแม้ไม่ได้ส่งต่อเราก็มีสิทธิ์ถูกทำโทษทั้งจำทั้งปรับ,"หยุดเสพสื่อลามกเด็ก แม้จะดูคนเดียวไม่ส่งต่อแต่เมื่ออยู่ในกลุ่มแล้ว TICAC ก็จับครับ แท็กไปให้เพื่อนๆเห็น ใครอยู่ในกลุ่มเว็บโป๊ผิดกฏหมายมาตราไหนบ้าง 287/1 วรรคแรก และ วรรคสอง นอกจากนั้นอาจยังมีผิดตาม พ.ร.บ.ค้ามนุษย์ฯ โทษจำคุกไม่น้อยกว่า 12 ปี""ทั้งนี้ มาตรา 287/1 ตามประมวลกฎหมายอาญา ระบุว่า ""ผู้ใดครอบครองสื่อลามกอนาจารเด็กเพื่อแสวงหาประโยชน์ในทางเพศสำหรับตนเองหรือผู้อื่นต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ ถ้าผู้กระทำความผิดตามวรรคหนึ่งส่งต่อซึ่งสื่อลามกอนาจารเด็กแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกินเจ็ดปีหรือปรับไม่เกินหนึ่งแสนสี่หมื่นบาท หรือทั้งจำทั้งปรับ""",,https://cofact.org/article/3mcffbnygd96i
true,ผู้ป่วยติดเชื้อโควิด 19 จะแพร่กระจายเชื้อโรคได้มากที่สุด ในช่วงที่เริ่มแสดงอาการ เช่น เริ่มเจ็บคอ ไอ จาม จริงหรือ,องค์การอนามัยโลก (WHO) เผยแพร่งานวิจัยที่บ่งชี้ว่า ผู้ป่วยโควิด-19 จะแพร่เชื้อสู่ผู้อื่นได้มากที่สุด ในช่วงที่เริ่มแสดงอาการ เช่นเริ่มเจ็บคอ ไอ จามการเข้าสู่ร่างกายมนุษย์นั้น เชื้อไวรัสโควิด-19 จะเริ่มฝังตัวตั้งแต่ระบบทางเดินหายใจส่วนบน ก่อนจะค่อยๆกระจายไปยัง ส่วนอื่นๆของร่างกาย ดังนั้น ละอองฝอย จากผู้ที่เริ่มมีอาการ ในจำนวนไม่มาก ก็สามารถแพร่สู่ร่างกายผู้อื่นได้แล้ว,,https://cofact.org/article/1yoosmvdlyxd3
true,เด็กทารกห้ามกินน้ำผึ้ง จริงหรือคะ,วัยทารกเป็นวัยที่มีความเสี่ยงในการติดเชื้อโรคได้ง่าย เนื่องจากเด็กในวัยนี้มีภูมิคุ้มกันในร่างกายที่ต่ำ น้ำผึ้งอาจมีเชื้อปนเปื้อนสารพิษจากเชื้อแบคทีเรียคลอสติเดียมโบทูลินัม (Clostridium Botulinum) ที่ปนเปื้อนในอาหารซึ่งอาจทำให้เกิดโรคโรคโบทูลิซึมได้ จริงหรือคะ,,https://cofact.org/article/n9j0u2q8os3v
true,วัยรุ่นนิยมจัดฟันแฟชั่น โดยไม่ได้จัดกับทันตแพทย์ เสี่ยงอันตราย ติดเชื้อ เกิดแผลอักเสบได้ จริงหรือคะ,การจัดฟันแฟชั่น ที่กำลังระบาดอยู่ในขณะนี้มีรูปแบบพัฒนาไปจากเดิมมาก มีแหล่งขายรีเทนเนอร์ขนาดใหญ่ และร้านที่ลักลอบให้บริการติดอุปกรณ์ลวดดัดฟันแฟชั่นผิดกฎหมาย เช่น เปิดร้านเช่าเล็กๆ และมีพนักงาน 1-2 คนให้บริการ โดยมีกลุ่มเป้าหมายเป็นนักเรียน นักศึกษา คิดค่าบริการในราคาถูก ซึ่งเป็นวิธีการที่ไม่ถูกต้องและอาจทำให้เกิดอันตรายได้ ผิดกฎหมายและอันตราย ทั้งจากการติดเชื้อ เกิดแผลอักเสบ และถึงแก่ชีวิตจากวัสดุที่ไม่ได้มาตรฐานทางการแพทย์ จริงหรือคะ,,https://cofact.org/article/tbna9wf8nllv
true,จริงหรือ กินอาหารถ้าเคีัยวไม่ละเอียด มีสิทธิ์เสี่ยงลำไส้อุดตัน อาขทำให้เสียชีวิตได้,แพทย์เตือนผู้สูงวัย เคี้ยวอาหารให้ละเอียด เสี่ยงโรคลำไส้อุดตันอาจทำให้เสียชีวิตได้ หลังเกิดเหตุหญิงอายุ 60 ปี กลืนส้มตำไม่เคี้ยวทำให้อาหารไปอุดตันในลำไส้ จนต้องผ่าตัดด่วน,,https://cofact.org/article/2c8w7k0vc328u
true,จริงหรือคะ มีมารตรการยกเลิกเคอร์ฟิวแล้ว โดยเริ่มใช้วันที่ 15 มิย ศกนี้,ล่าสุดเมื่อเวลา 12.00 น. นพ.ทวีศิลป์ วิษณุโยธิน ในฐานะโฆษก ศบค. เปิดเผยว่า ที่ประชุม ศบค.ชุดใหญ่ มีมติยกเลิกการห้ามออกจากเคหสถาน โดยจะบังคับใช้ตั้งแต่วันที่ 15 มิ.ย.2563 แต่ยังคงมาตรการควบคุมการเดินทางเข้าราชอาณาจักร ทั้งทางบก ทางน้ำและทางอากาศ,,https://cofact.org/article/1ot0fiufr46h4
true,ร้านอาหารสามารถนั่งดื่มแอลกอฮอล์ได้แล้ว แต่ผับบาร์ยังไม่อณุญาติให้เเปิด จริงหรือ,มีการผ่อนผันล็อคดาวน์ระยะ 4 และอณุญาติให้นั่งดื่มตามร้านอาหารได้แล้ว แต่ยังไม่อณุญาติให้เปิด ผับ บาร์และสถานบริการ,,https://cofact.org/article/g0pfrxfyfuxi
true,Johnson & Johnson บริษัทผู้ดำเนินธุรกิจด้านสุขภาพ ประกาศว่า จะนำวัคซีนป้องกัน เชื้อไวรัสโควิด-19 ทดสอบกับมนุษย์ ในเดือนกรกฎาคมนี้แล้ว จริงหรือ,"หัวหน้าฝ่ายวิจัยด้านวิทยาศาสตร์ ของ Johnson & Johnson กล่าวว่าที่สามารถทดสอบวัคซีนกับมนุษย์ได้เร็วกว่ากำหนดเดิมถึง 2 เดือน เป็นเพราะ ในขั้นตอนการทดลองเบื้องต้น หรือ preclinical มีผลที่เชื่อถือได้ ว่าตัวยาของวัคซีน สามารถต่อต้านเชื้อไวรัสโควิด-19 ในห้องทดลองสำหรับการทดสอบวัคซีนในเดือนกรกฎาคม จะใช้กลุ่มตัวอย่างที่เป็นอาสาสมัครสุขภาพดี จำนวน 1,045 คน โดยจะทดสอบที่สหรัฐอเมริกา และเบลเยี่ยม",,https://cofact.org/article/1c2b2riesgxo2
true,วันที่ 15-30 มิยนี้ สวนสัตว์เปิดให้เข้าฟรี แต่ต้องลงทะเบียนจองคิวก่อนทางออนไลน์จริงหรือ,"องค์การสวนสัตว์เตรียมเปิดสวนสัตว์ 6 แห่งทั่วประเทศให้เข้าชมฟรี ระหว่างวันที่ 15-30 มิ.ย.นี้ พร้อมจำกัดผู้เข้าชมสวนสัตว์ไม่เกินวันละ 2,000 คนและต้องจองเข้าชมล่วงหน้าเท่านั้น",,https://cofact.org/article/y6fm0xs90xrl
false,มีสูตรแชร์ ยาดองต้านโควิด-19 จริงหรือคะ,สูตรยาดอง 3 ตำรับจากแหล่งต่างๆ โดยอ้างสรรพคุณมีฤทธิ์ต้านเชื้อโควิด-19 ได้ ส่วนมากเป็นสมุนไพรที่ช่วยบำรุงกำลัง (เช่น กำลังช้างสาร กำแพงเจ็ดชั้น) กลุ่มสมุนไพรรสเผ็ดร้อน ที่ช่วยการไหลเวียนของเลือดลม (เช่น พริกไทย กานพลู ดีปลี) กลุ่มสมุนไพรขับปัสสาวะ (เช่น โด่ไม่รู้ล้ม) และสมุนไพรรสขม อาจจะนำมาช่วยในการคุมฤทธิ์ของยาในตำรับ (เช่น รากปลาไหลเผือก) ส่วนใหญ่วิธีการดองจะใช้เหล้าหรือแอลกอฮอล์ มักจะใช้เหล้าขาว 28-40 ดีกรีด้วย จริงหรือคะ,,https://cofact.org/article/7qace5651db8
true,อย. ยังไม่เคยอนุญาตผลิตภัณฑ์เนื้อวัวฉีดไขมัน,"ในอินเทอร์เน็ตมีการส่งต่อข้อมูลเกี่ยวกับเนื้อวัวฉีดไขมัน จะปลอดภัยต่อผู้บริโภคหรือไม่ มาติดตามกันใน อย. เช็ก ชัวร์ แชร์ก่อนอื่นมาทำความรู้จักกับนิยามของเนื้อฉีดไขมัน ตามประกาศของสำนักงานคณะกรรมการอาหารและยา กันก่อนนะ เนื้อฉีดไขมัน เป็นการฉีดของเหลวที่มีส่วนประกอบหลักของไขมัน น้ำ และอิมัลซิไฟเออร์ (Emulsifier)โดยใช้เครื่องจักร หรือเครื่องมือที่มีลักษณะเป็นเข็ม แทงเข้าไปในเนื้อวัว ทำให้เนื้อวัวมีไขมันแทรกโดยวิธีการผลิต เครื่องมือ เครื่องจักรที่ใช้ในการผลิต และการเก็บรักษาอาหารแปรรูปที่บรรจุในภาชนะพร้อมจำหน่าย (Primary GMP) และการใช้วัตถุเจือปนอาหารในการผลิตเนื้อฉีดไขมัน จะต้องเป็นไปตามประกาศกระทรวงสาธารณสุข เลขที่ 389 พ.ศ. 2561 เรื่อง วัตถุเจือปนอาหาร (ฉบับที่ 5)ซึ่งจะต้องมีการแสดงฉลากให้ถูกต้องตามประกาศกระทรวงสาธารณสุข ว่าด้วยเรื่องการแสดงฉลากของอาหารในภาชนะบรรจุ เช่น ชื่ออาหาร ชื่อและที่ตั้งของผู้ผลิต น้ำหนักสุทธิ วันเดือนปีที่ควรบริโภคก่อน ข้อมูลสำหรับผู้แพ้อาหาร และข้อมูลการใช้วัตถุเจือปนอาหาร เป็นต้น และต้องมีข้อความแสดงข้อเท็จจริงเกี่ยวกับผลิตภัณฑ์บนฉลากอาหารว่าเป็นเนื้อโคฉีดไขมัน เพื่อป้องกันไม่ให้ผู้บริโภคเกิดความเข้าใจผิดได้ว่าเนื้อวัวเหล่านั้นเป็นเนื้อโคที่มีไขมันแทรกธรรมชาตินอกจากนี้การฉีดไขมันในเนื้อโค จะต้องได้รับการเห็นชอบจาก อย. ก่อน โดยผู้ผลิต ผู้นำเข้า หรือผู้จำหน่าย จะต้องแสดงรายละเอียดของกรรมวิธีการผลิตในการฉีดไขมัน เงื่อนไขการใช้วัตถุเจือปนอาหารพร้อมเหตุผลการใช้และมาตรฐานอ้างอิง ซึ่งหากไม่สอดคล้องตามข้อกำหนดของประกาศกระทรวงสาธารณสุขจะต้องยื่นขอประเมินความปลอดภัยของวัตถุเจือปนอาหารก่อน รวมทั้งแสดงฉลากอาหาร แนวทางการควบคุมการผลิต นำเข้าหรือจำหน่าย เช่น จำหน่ายเฉพาะร้านสะดวกซื้อ หรือมาตรการป้องกันความเข้าใจผิดของผู้บริโภคว่าเป็นเนื้อโคที่มีไขมันแทรกธรรมชาติประกอบการพิจารณาแต่ในขณะนี้ อ.ย.ยังไม่เคยอนุญาตผลิตภัณฑ์เนื้อโคฉีดไขมันแต่อย่างใด หากผู้ใดประสงค์จะผลิตหรือนำเข้า จะต้องขอความเห็นชอบจาก อย. ก่อน หากฝ่าฝืนต้องระวางโทษปรับไม่เกิน 20,000 บาทดังนั้นก่อนจะ แชร์ หรือเชื่ออะไรควรเช็กให้มั่นใจก่อนว่าข้อมูลเหล่านั้นมีความน่าเชื่อถือหรือไม่โดยสามารถมา เช็กให้ชัวร์กับ อย. กันก่อนนะอย. ยังไม่เคยอนุญาตผลิตภัณฑ์เนื้อวัวฉีดไขมันhttps://oryor.com/%E0%B8%AD%E0%B8%A2/detail/media_printing/1639ในอินเทอร์เน็ตมีการส่งต่อข้อมูลเกี่ยวกับเนื้อวัวฉีดไขมัน จะปลอดภัยต่อผู้บริโภคหรือไม่ มาติดตามกันใน อย. เช็ก ชัวร์ แชร์ ก่อนอื่นมาทำความรู้จักกับนิยามของเนื้อฉีดไขมัน ตามประกาศของสำนักงานคณอัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/3mb3c8oiefyjl
true,รถไฟฟ้า BTS MRT BRT พร้อมขยายเวลาเปิดถึงเที่ยงคืนตั้งแต่ 15 มิย ศกนี้แล้ว จริงหรือ,รถไฟฟ้าทั้งบีทีเอส-บีอาร์ที และเอ็มอาร์ที เริ่มเปิดให้บริการตามปกติถึงเที่ยงคืน ตั้งแต่ 15 มิ.ย.เป็นต้นไป หลัง ศบค.ยกเลิกเคอร์ฟิว พร้อมมาตรการเข้มป้องกันไวรัส COVID-19,,https://cofact.org/article/3a190g3mu4fp5
true,"จริงหรือ มีข่าวว่าที่จีนเจอเชื้อโควิดบนเขียงปลาแซลมอน สั่งปิดตลาดทันทีและต้องตรวจเชื้อประชาชนมากกว่า 10,000 คน ด้วยกรดนิวคลิอิกเพื่อหาเชื้อไวรัสโควิด-19","จีนตรวจพบเชื้อไวรัสโควิด-19 บน ""เขียงปลาแซลมอน"" พร้อมพบผู้ป่วยรายใหม่เพิ่มอีก 11 คนห้างซูเปอร์มาร์เก็ตขนาดใหญ่ในกรุงปักกิ่ง ได้เก็บปลาแซลมอนออกจากชั้นวางสินค้าเมื่อคืนที่ผ่านมา หลังพบเชื้อไวรัสโควิด-19 ติดอยู่บนเขียงปลาแซลมอนนำเข้าที่ รัฐบาลกรุงปักกิ่ง แถลงว่า มีประชาชนมากกว่า 10,000 คน ที่ตลาดแห่งนี้จะถูกตรวจกรดนิวคลิอิกเพื่อหาเชื้อไวรัสโควิด-19 เจ้าหน้าที่ยังบอกด้วยว่า ล้มเลิกแผนการเปิดโรงเรียนในวันจันทร์ สำหรับนักเรียนชั้นเกรด 1-3เพราะพบการระบาดครั้งใหม่",,https://cofact.org/article/2t4v2ha8kkzeh
true,สนามบินภูเกต พร้อมเปิดให้บริการแล้ว จริงหรือ,หลังจากไม่พบผู้ติดเชื้อภายในจังหวัดมาเป็นเวลานาน กพท.ออกประกาศให้สนามบินภูเก็ตเปิดบริการ ตั้งแต่วันที่ 13 มิถุนายน เป็นต้นไป,,https://cofact.org/article/26nntfbutpsk0
true,แอร์พอร์ตลิงค์พร้อมให้บริการตามเวลาปกติแล้ว พร้อมจำกัดจำนวนผู้โดยสารต่อเที่ยว หลังคลายล็อคดาวน์ 15 มิย ศกนี้จริงหรือ,ตั้งแต่วันที่ 15 มิถุนายน 2563 แอร์พอร์ตลิงค์ จะกลับมาให้บริการในเวลาปกติ 05.30 – 24.00 น. อีกครั้ง และเพิ่มขบวนรถเสริม ในช่วงเวลาเร่งด่วนเช้า-เย็น วันจันทร์ – ศุกร์ เป็น 24 เที่ยว/วัน เพื่อให้สามารถรองรับความต้องการใช้บริการที่เพิ่มมากขึ้นของผู้โดยสารได้ หรือหากมีผู้โดยสารใช้บริการหนาแน่นมากก็จะพิจารณาเพิ่มเติมขบวนรถเสริมอีก เพื่อให้เพียงพอต่อการใช้บริการของผู้โดยสาร และกำหนดจำนวนผู้โดยสารในขบวนรถไม่เกิน 520 คน/ขบวน,,https://cofact.org/article/tii9zv3k2oor
true,จริงหรือ ซีพี เดินหน้าแจกหน้ากากอนามัยแก่ประชาชนภายหลังส่งมอบให้บุคลการการแพทย์ไปแล้วกว่า 500 โรงพยาบาล,ซีพีเริ่มแจกหน้ากากอนามัยให้ประชาชนฟรี ประเดิมคนตาบอด-มูลนิธิออทิสติก เพื่อป้องกันโควิด 19,,https://cofact.org/article/241dr117crfap
true,จังหวัดปทุมธานี ออกประกาศ ขจัดการเลือกปฏิบัติโดยไม่เป็นธรรมทางเพศ จริงหรือคะ,จังหวัดปทุมธานีได้เผยแพร่ ประกาศจังหวัดปทุมธานีเรื่องข้อปฏิบัติในการส่งเสริมความเสมอภาคและขจัดการเลือกปฏิบัติโดยไม่เป็นธรรมระหว่างเพศ โดยให้บุคลกรสามารถแต่งกายตามอัตลักษณ์ทางเพศสภาพหรือตามเพศสภาวะของบุคคลตามข้อบังคับของหน่วยงาน จริงหรือคะ,,https://cofact.org/article/2qjxzotgbtn9w
false,กลืนหมากฝรั่ง เสี่ยงหมากฝรั่งพันลำไส้ จริงหรือคะ,หลาย ๆ คนคงเคยได้ยินกันมาบ้างว่า หากกลืนหมากฝรั่ง จะทำให้หมากฝรั่งพันลำไส้ ทำให้หลายๆคนกลัวการเคี้ยวหมากฝรั่ง กลืนแล้วพันลำไส้จริงหรือคะ,,https://cofact.org/article/2skjc8v3qtbyv
false,รัฐบาลได้กำหนดวันที่ 8-10 ก.ค. 63 เป็นวันหยุดชดเชยสงกรานต์ จริงหรือคะ,มีการแชร์กันในโลกออนไลน์ว่าทางรัฐบาลได้ประกาศวันหยุดชดเชยสงกรานต์ วันที่ 8-10 ก.ค. จริงหรือคะ,,https://cofact.org/article/hoc5e0rfyl2i
true,15 มิ.ย.นี้ บขส. เปิดเดินรถเส้นทางภาคเหนือเพิ่มอีก 8 เส้นทาง จริงหรือคะ,"บขส. เตรียมเปิดเดินรถเส้นทางภาคเหนือเพิ่มอีก 8 เส้นทาง จากเดิมที่เปิดให้บริการแล้ว จำนวน 7 เส้นทาง รวม 15 เส้นทาง ในวันที่ 15 มิถุนายน 2563 หลังจากศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) หรือ ศบค. มีมติผ่อนคลายมาตรการระยะที่ 4 และเตรียมยกเลิกการห้ามออกนอกเคหสถาน หรือยกเลิกเคอร์ฟิว โดยมีผลบังคับใช้วันที่ 15 มิถุนายน 2563 เพื่ออำนวยความสะดวกให้กับประชาชนที่มีความจำเป็นต้องเดินทางส่วนภาคตะวันออกเฉียงเหนือและภาคตะวันออก เปิดให้บริการ จำนวน 22 เส้นทาง ยกเว้น 4 เส้นทาง ประกอบด้วย เส้นทาง 9907 กรุงเทพฯ (มอเตอร์เวย์) จันทบุรี , เส้นทาง 904 กรุงเทพฯ-สระบุรี , เส้นทาง 921 กรุงเทพฯ - องครักษ์ – อรัญประเทศ และเส้นทาง 825 ทอ สุวรรณภูมิ – หนองคาย ส่วนภาคใต้ เปิดให้บริการทุกเส้นทางแล้ว",,https://cofact.org/article/3f1jovhvefexx
true,จริงหรือ หากป่วยเป็นไวรัสตับอักเสบโดยเฉพาะชนิดบีและซี เป็นสาเหตุนำไปสู่ภาวะตับอักเสบ ตับแข็ง และมะเร็งตับได้อีกทั้งสามารถถ่ายทอดเชื้อสู่ผู้อื่นได้ กรมควบคุมโรคจึงมีการรณรงค์ให้ประชาชนเข้ารับการตรวจคัดกรองโรคไวรัสตับอักเสบบีและซีได้ฟรี ที่โรงพยาบาลในสังกัดกระทรวงสาธารณสุขที่เข้าร่วมโครงการ ประชาชนสามารถสอบถามเพิ่มเติมได้ที่สายด่วนกรมควบคุมโรค โทร. 1422 ในเดือน ส.ค.นี้,กรมควบคุมโรค เตือนประชาชนระวังภัยเงียบจากการติดเชื้อไวรัสตับอักเสบ สามารถถ่ายทอดเชื้อสู่ผู้อื่นได้และเป็นสาเหตุนำไปสู่ภาวะตับอักเสบ ตับแข็ง และมะเร็งตับ โดยไวรัสตับอักเสบที่เป็นปัญหาสำคัญในประเทศไทย ได้แก่ ไวรัสตับอักเสบบีและซีสามารถแบ่งอาการออกเป็น 2 ระยะคือ โรคตับอักเสบเฉียบพลัน และโรคตับอักเสบเรื้อรัง โดยอาการของโรคตับอักเสบเฉียบพลันคือ ตัวเหลือง ตาเหลือง มีไข้ ปวดท้องบริเวณใต้ชายโครงขวา เซลล์ตับถูกทำลาย ซึ่งผู้ที่เป็นโรคไวรัสตับอักเสบบี มีเพียงร้อยละ 5-10 ที่มีโอกาสเป็นตับอักเสบเรื้อรังทั้งนี้ ในเดือน ส.ค.นี้ จะมีการรณรงค์ให้ประชาชนเข้ารับการตรวจคัดกรองโรคไวรัสตับอักเสบบีและซีได้ฟรี ที่โรงพยาบาลในสังกัดกระทรวงสาธารณสุขที่เข้าร่วมโครงการ ประชาชนสามารถสอบถามเพิ่มเติมได้ที่สายด่วนกรมควบคุมโรค โทร. 1422,,https://cofact.org/article/qeq7t8c4rspu
true,ประเทศไทยได้รับการยกย่องว่าสามารถควบคุมไวรัสโควิด-19ดี ฟื้นตัวได้เร็วเป็นอันดับ 2 ของโลกและอันดับที่ 1 ในเอเชีย จริงหรือ,องค์กร Global COVID-19 โดยความร่วมมือของกระทรวงวิทยาศาสตร์และนวัตกรรม (MOSTI) ประเทศมาเลเซีย และกลุ่ม Sunway จัดให้ประเทศไทยฟื้นตัวเป็นอันดับ 2 ของโลก รองจากประเทศออสเตรเลีย และเป็นอันดับที่ 1 ของเอเชีย โดยคิดคะแนนจากการยืนยันต่อประชากรเทียบกับขนาดของแต่ละประเทศ,,https://cofact.org/article/3itunvgvvtzz0
true,"กรุงปักกิ่งประเทศจีน ประกาศ “สถานการณ์ฉุกเฉินภาวะสงคราม"" เป็นที่เรียบร้อย หลังจากพบผู้ติดเชื้อโควิดใหม่เพิ่ม 45 ราย จริงหรือ",การระบาดระลอกใหม่นี้เกิดขึ้นที่บริเวณตลาดซินฟาตี (Xinfadi) ในเขตเฟิงไถ โดยจากการเก็บตัวอย่างสารคัดหลั่งด้วยการป้ายคอ (Throat swab) ผู้ที่มีความใกล้ชิดกับตลาด จำนวน 517 คน พบว่ามีผู้ติดเชื้อไวรัสร้ายโดยไม่แสดงอาการ 45 คน,,https://cofact.org/article/196edi85eetct
true,ททท. ให้รอประกาศชื่อเว็บอย่างเป็นทางการ ก่อนเข้าไปลงทะเบียนขอรับสิทธิ์ แจกเงินเที่ยว จริงหรือคะ,เนื่องจากขณะนี้มีผู้เข้าไปจองโดเมนจดทะเบียนเว็บไซต์ในชื่อ “เที่ยวปันสุข” นามสกุลต่างๆ เพื่อเปิดเว็บไซต์จำนวนมาก โดยเฉพาะนามสกุลยอดนิยม จึงกังวลว่าคนอาจเข้าใจผิดและตกเป็นเหยื่อกลุ่มมิจฉาชีพ ทางททท.จึงเห็นว่าจะไม่เปิดเว็บไซต์ในชื่อ “เที่ยวปันสุข” จึงขอให้ผู้ที่สนใจรอประกาศอย่างเป็นทางการก่อนลงทะเบียน จริงหรือคะ,,https://cofact.org/article/1k13ssubwcqh9
true,15 มิถุนายนนี้เป็นต้นไป ขสมก.ให้บริการรถโดยสารตามเวลาปกติ หลัง ศบค.ยกเลิกประกาศเคอร์ฟิว จริงหรือคะ,"หลังจากการผ่อนปรนระยะที่ 4 โดย สบค.อนุญาตให้กิจกรรม/กิจการในกลุ่มที่มีความเสี่ยงสูง กลับมาเปิดบริการหรือดำเนินการได้ ตั้งแต่วันที่ 15 มิถุนายน 2563 แต่ต้องปฏิบัติตามแนวทางการควบคุมโรคอย่างเคร่งครัด โดยคาดว่าเมื่อดำเนินการ ตามมาตรการ ผ่อนคลายดังกล่าว จะส่งผลทำให้ผู้ใช้บริการรถโดยสารประจำทางของ ขสมก.เพิ่มขึ้น เป็นวันละประมาณ 650,000 คนขสมก.จึงจัดแผนการเดินรถโดยสาร ในช่วงมาตรการผ่อนคลายระยะที่ 4 ดังนี้1. จัดรถออกวิ่ง 100 % (3,000 คัน/วัน) หรือจัดรถออกวิ่งให้สอดคล้องกับความต้องการ ของประชาชนในแต่ละช่วงเวลา โดยมีเที่ยววิ่งเฉลี่ย วันละประมาณ 25,000 เที่ยว2. ให้บริการรถโดยสารประจำทางในทุกเส้นทาง ตามเวลาปกติ รวมทั้ง จัดรถโดยสารให้บริการตลอดคืน (รถกะสว่าง) ตั้งแต่วันที่ 15 มิถุนายน 2563 เป็นต้นไป",,https://cofact.org/article/2dppxad3o5egh
true,จริงหรือ แม้จะคลายล็อคดาวน์ระยะที่ 4 และอณุญาติให้นั่งดริงค์ในร้านอาหารได้แล้ว แต่ห้ามขายแอลกอฮอลล์เกินเที่ยงคืน และไม่ให้เล่นดนตรีสด,กทม. เผยคลายล็อกเฟส 4 ยังปิด 5 สถานที่ ผับบาร์ สนามชนไก่ ร้านเกม-อินเทอร์เน็ต อาบอบนวด สนามชนโค-กัดปลา เปิด 11 สถานที่ วางเงื่อนไขร้านอาหารให้นั่งดริงก์ได้แค่เที่ยงคืน ห้ามเล่นดนตรีสด แต่เปิดเพลงได้ จำกัดระดับเสียงตามกฎหมาย เริ่ม 15 มิ.ย. ไม่อนุญาตกิจกรรมแฟนมีต เหตุุมีการรวมตัวใกล้ชิดแฟนคลับ,,https://cofact.org/article/37qu1o3o3f0qt
true,จริงหรือ ประเทศไทย เริ่มตรวจหาเชื้อโควิด19 จากค้างคาวแล้ว เพื่อป้องกันการแพร่ระบาดของไวรัสหรือโรคที่มาจากค้างคาวในอนาคต เป็นการเตรียมความพร้อมในการรับมือกับไวรัส,กรมอุทยานฯ - ศูนย์วิทยาศาสตร์สุขภาพโรคอุบัติใหม่ รพ.จุฬาลงกรณ์ เข้าพื้นที่ถ้ำสะดอ จ.จันทบุรี ลุยจับค้างคาวมงกุฏหาเชื้อ COVID-19 ครั้งแรกในไทย หวังจัดระบบฐานข้อมูล พบบางพื้นที่นิยมกินค้างคาว เสี่ยงได้รับเชื้อโรค,,https://cofact.org/article/2skqkw9p12usy
true,ที่ผ่านมาประเทศไทย พบผู้ติดเชื้อเพิ่มเฉพาะที่อยู่ใน State quarantine ทำให้ไม่มีผู้ติดเชื้อภายในประเทศมา 20 วันติดกันแล้ว จริงหรือ,"ศบค.และ วช. เปิดเผยสถานการณ์ COVID-19 วันนี้ (14 มิ.ย. 63) ไทยพบผู้ป่วยใหม่เพิ่มขึ้น 1 คน เป็นหญิงเดินทางมาจากสหรัฐฯ และเข้าพักใน State Quarantine กทม. ส่งผลให้ไทยมีผู้ป่วยสะสมแล้ว 3,135 คน และไทยไม่มีผู้ติดเชื้อรายใหม่ภายในประเทศติดต่อกัน 20 วัน โดยไทยมีผู้ป่วยสะสมอยู่อันดับ 88 ของโลกศูนย์ข้อมูล COVID-19https://www.facebook.com/informationcovid19/photos/a.106455480972785/153078729643793/?type=3&theaterศูนย์ข้อมูล COVID-19 is on Facebook. To connect with ศูนย์ข้อมูล COVID-19, join Facebook today.JoinorLog Inศูนย์ข้อมูล COVID-19 is on Facebook. To connect with ศูนย์ข้อมูล COVID-19, join Facebook todaอัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/3k0ycvhoz7yu8
true,มีข่าวว่าตู้เอทีเอ็มของธนาคารไทยพาณิชย์สาขาระนอง ระบบขัดข้องมีคนกดเงินแล้วได้เงินเกิน ถ้าไม่เอามาคืนมีโทษหนักจำคุก 3 ปี จริงหรือ,"ตามที่สื่อได้นำเสนอข่าว “ได้เงิน 10 เท่า! ATM เออเร่อ กดพันได้หมื่น-ไม่คืนเจอยักยอกทรัพย์” ในเขตพื้นที่ สภ.เมืองระนองขอฝากประชาสัมพันธ์และฝากเตือนประชาชนที่กดเงินแล้วได้เงินไปในจำนวนที่เกินกว่าจำนวนเงินของตนเองจากตู้ ATM จุดเกิดเหตุ ให้ไปติดต่อกับทางธนาคารไทยพาณิชย์ สาขาระนอง หรือ สภ.เมืองระนอง เพื่อดำเนินการในส่วนที่เกี่ยวข้อง หากท่านไม่ติดต่อและนำเงินส่วนเกินมาคืน ท่านอาจจะถูกธนาคารแจ้งความร้องทุกข์ในข้อหาความผิดฐานยักยอกทรัพย์ ซึ่งมีอัตราโทษจำคุกไม่เกิน 3 ปี หรือ ปรับไม่เกิน 60,000 บาท หรือทั้งจำทั้งปรับ”",,https://cofact.org/article/3m63n0sp4u3vn
